name,ra,dec,dist,pmra,pmdec,rv,rcluster,n_star
IC_2581,156.86700000000002,-57.626000000000005,2840.9090909090905,-7.275,3.594,0,0.059000000000000004,0
IC_2602,160.613,-64.426,152.41579027587258,-17.582,10.7,0,1.449,0
IC_2714,169.373,-62.718999999999994,1390.8205841446452,-7.597,2.639,0,0.171,0
IC_2948,174.822,-63.44,2577.3195876288664,-5.968,0.647,0,0.105,0
IC_348,56.132,32.159,324.7807729782397,4.4830000000000005,-6.447,0,0.096,0
IC_361,64.736,58.251999999999995,4405.286343612335,1.7209999999999999,-1.139,0,0.068,0
IC_4651,261.212,-49.917,946.9696969696969,-2.41,-5.064,0,0.23,0
IC_4665,266.55400000000003,5.615,348.6750348675034,-0.909,-8.52,0,0.506,0
IC_4725,277.937,-19.114,660.5019815059445,-1.6880000000000002,-6.117000000000001,0,0.261,0
IC_4756,279.649,5.435,477.78308647873865,1.26,-4.927,0,0.534,0
IC_4996,304.135,37.649,2053.388090349076,-2.681,-5.348,0,0.027999999999999997,0
IC_5146,328.37199999999996,47.246,824.4023083264633,-2.91,-2.49,0,0.068,0
Ivanov_4,105.14399999999999,-8.861,2816.9014084507044,-1.355,1.022,0,0.019,0
Ivanov_8,124.794,-35.658,11363.636363636362,-2.375,3.543,0,0.012,0
Juchert_1,290.629,12.667,4310.344827586207,-1.777,-4.609,0,0.024,0
Juchert_10,220.049,-60.375,9345.794392523365,-4.915,-2.592,0,0.043,0
Juchert_13,180.43099999999998,-64.09899999999999,3649.635036496351,-8.127,0.249,0,0.048,0
Juchert_18,97.86399999999999,6.803999999999999,6756.756756756756,0.059000000000000004,0.057,0,0.025,0
Juchert_19,60.585,52.446000000000005,9803.921568627451,-0.141,0.17600000000000002,0,0.025,0
Juchert_20,62.703,46.873999999999995,3021.1480362537764,1.103,-1.643,0,0.04,0
Juchert_3,286.88599999999997,6.279,3533.568904593639,-1.5090000000000001,-3.985,0,0.027999999999999997,0
Juchert_9,58.84,58.391000000000005,5376.344086021505,-0.223,-0.033,0,0.02,0
Juchert_Saloran_1,4.078,59.967,5076.1421319796955,-1.7309999999999999,-1.3119999999999998,0,0.038,0
Kharchenko_1,92.197,24.281,2380.952380952381,0.767,-2.286,0,0.065,0
King_1,5.505,64.383,1926.7822736030828,-4.947,-1.273,0,0.155,0
King_10,343.74800000000005,59.17,3861.003861003861,-2.722,-2.088,0,0.039,0
King_11,356.912,68.63600000000001,3816.793893129771,-3.358,-0.643,0,0.062,0
King_12,358.265,61.953,3378.378378378378,-3.4160000000000004,-1.42,0,0.054000000000000006,0
King_13,2.553,61.175,4329.004329004329,-2.7460000000000004,-0.8390000000000001,0,0.071,0
King_14,7.987,63.163000000000004,2487.5621890547263,-3.267,-0.985,0,0.057999999999999996,0
King_15,8.262,61.854,3267.97385620915,-2.326,-0.862,0,0.040999999999999995,0
King_16,10.915,64.172,3048.7804878048782,-2.908,-0.419,0,0.051,0
King_17,77.09,39.069,4184.100418410042,-0.126,-1.274,0,0.038,0
King_18,343.055,58.288999999999994,3225.8064516129034,-2.639,-2.068,0,0.049,0
King_19,347.05300000000005,60.523,2915.451895043732,-4.838,-2.6510000000000002,0,0.061,0
King_2,12.741,58.188,6024.096385542169,-1.358,-0.8240000000000001,0,0.051,0
King_20,353.305,58.468999999999994,2016.1290322580646,-2.6860000000000004,-2.585,0,0.061,0
King_21,357.47900000000004,62.705,3278.688524590164,-3.259,-1.675,0,0.046,0
King_23,110.459,-0.988,3584.229390681004,-0.457,-0.879,0,0.059000000000000004,0
King_25,291.122,13.696,3225.8064516129034,-1.367,-3.958,0,0.052000000000000005,0
King_26,292.237,14.882,2415.458937198068,-2.344,-4.935,0,0.036000000000000004,0
